ID,TITLE,PRICE,IMAGE
1,PRINTED FADED T-SHIRT,22.95 EUR,https://static.zara.net/assets/public/52e0/d26a/515d458f8673/a71f4e328a0f/06224479428-p/06224479428-p.jpg?ts=1712734454538&w=234
2,BASIC DENIM BERMUDA SHORTS,25.95 EUR,https://static.zara.net/assets/public/2db4/1b28/333d40dcaab6/06830ecef5dd/01538462427-p/01538462427-p.jpg?ts=1712734460451&w=234
3,FADED T-SHIRT WITH CONTRAST PRINT,22.95 EUR,https://static.zara.net/assets/public/8979/4b75/af7f4829a513/4139b2e399bb/03992462251-p/03992462251-p.jpg?ts=1712759295420&w=234
4,PRINTED FADED T-SHIRT,22.95 EUR,https://static.zara.net/assets/public/3580/4715/5cce479893ea/e77a1dd46fc2/06224476650-p/06224476650-p.jpg?ts=1712734464327&w=234
5,PRINTED FADED T-SHIRT,22.95 EUR,https://static.zara.net/assets/public/f538/3dfd/3ce9496e924e/7facb800d1e3/06224479428-e1/06224479428-e1.jpg?ts=1712647100008&w=187
6,BASIC DENIM BERMUDA SHORTS,25.95 EUR,https://static.zara.net/assets/public/d337/f0e8/e9724d3f9631/ce83ef7494bc/01538462427-e1/01538462427-e1.jpg?ts=1712742071363&w=187
7,PRINTED FADED T-SHIRT,22.95 EUR,https://static.zara.net/assets/public/2c5f/245a/dca742b0a39e/bd76b9643996/06224476650-e1/06224476650-e1.jpg?ts=1712590132070&w=187
8,BASIC DENIM BERMUDA SHORTS,25.95 EUR,https://static.zara.net/assets/public/98cf/7cf9/cf0d4644956e/ab512ba102ba/01538462407-e1/01538462407-e1.jpg?ts=1712742076093&w=187
9,FADED T-SHIRT WITH CONTRAST PRINT,22.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
10,BASIC DENIM BERMUDA SHORTS,25.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
11,BASIC DENIM BERMUDA SHORTS,25.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
12,RIPPED DENIM BERMUDA SHORTS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
13,RIPPED DENIM BERMUDA SHORTS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
14,RIPPED DENIM BERMUDA SHORTS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
15,RIPPED DENIM BERMUDA SHORTS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
16,MODAL BLEND SHIRT,45.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
17,MODAL BLEND TROUSERS,45.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
18,STRAIGHT-LEG CHINOS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
19,STRAIGHT-LEG CHINOS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
20,MODAL BLEND SHIRT,45.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
21,MODAL BLEND TROUSERS,45.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
22,MODAL BLEND SHIRT,45.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
23,MODAL BLEND TROUSERS,45.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
24,STRAIGHT-LEG CHINOS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
25,RELAXED-FIT DENIM WAISTCOAT,49.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
26,STRAIGHT-LEG CHINOS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
27,STRAIGHT-LEG CHINOS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
28,TEXTURED OVERSHIRT,59.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
29,RUSTIC KNIT POLO SHIRT,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
30,COTTON - LINEN TROUSERS,45.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
31,COTTON - LINEN TROUSERS,45.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
32,TEXTURED OVERSHIRT,59.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
33,COTTON - LINEN TROUSERS,45.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
34,RUSTIC KNIT POLO SHIRT,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
35,IRREGULAR JACQUARD TROUSERS,45.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
36,GEOMETRIC JACQUARD SHIRT,45.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
37,CONTRAST EMBROIDERED SHIRT,45.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
38,PRINTED LINEN/VISCOSE SHIRT,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
39,TEXTURED POLO SHIRT,29.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
40,TEXTURED POLO SHIRT,29.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
41,TEXTURED KNIT POLO SHIRT,29.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
42,TEXTURED POLO SHIRT,29.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
43,TEXTURED POLO SHIRT,29.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
44,TEXTURED PLEATED TROUSERS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
45,TEXTURED POLO SHIRT,29.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
46,TEXTURED PLEATED TROUSERS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
47,TEXTURED KNIT POLO SHIRT,29.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
48,TEXTURED PLEATED TROUSERS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
49,TEXTURED POLO SHIRT,29.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
50,TEXTURED PLEATED TROUSERS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
51,KNIT COTTON VEST,29.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
52,LASER-CUT FADED BAGGY JEANS,59.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
53,PRINTED FADED T-SHIRT,22.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
54,FADED T-SHIRT WITH SLOGAN,22.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
55,PRINTED FADED T-SHIRT,22.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
56,LASER-CUT FADED BAGGY JEANS,59.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
57,FADED T-SHIRT WITH SLOGAN,22.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
58,FADED T-SHIRT WITH SLOGAN,22.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
59,KNIT COTTON VEST,29.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
60,RELAXED FIT JEANS,49.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
61,BASIC HEAVY WEIGHT T-SHIRT,17.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
62,BASIC HEAVY WEIGHT T-SHIRT,17.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
63,JOGGER WAIST TROUSERS,45.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
64,CARROT FIT TROUSERS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
65,SEMI-SHEER TEXTURED SHIRT,49.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
66,STRIPED CREASED-EFFECT SHIRT,45.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
67,DOUBLE-BREASTED BLAZER,99.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
68,CARROT FIT TROUSERS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
69,STRIPED CREASED-EFFECT SHIRT,45.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
70,CARROT FIT TROUSERS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
71,SEMI-SHEER TEXTURED SHIRT,49.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
72,PALM TREE JACQUARD SHIRT,45.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
73,CARROT FIT TROUSERS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
74,STRIPED OVERSIZE SHIRT,45.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
75,CROCHET KNIT T-SHIRT,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
76,CROPPED FIT JACKET,59.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
77,MODAL BLEND TANK TOP,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
78,LEATHER JACKET,179.00 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png